target,date,theta_pl_mas,alpha_h,alpha_k,wavelength_h_min_um,wavelength_h_max_um,wavelength_k_min_um,wavelength_k_max_um,png_file,pdf_file
del And,2025-09-07,4.173,0.298,0.181,1.5,1.72,2.0,2.37,png/del_And_2025-09-07_HK_power_law.png,pdf/del_And_2025-09-07_HK_power_law.pdf
alf Cas,2025-07-20,5.68,0.283,0.1799999999999999,1.5,1.72,2.0,2.37,png/alf_Cas_2025-07-20_HK_power_law.png,pdf/alf_Cas_2025-07-20_HK_power_law.pdf
ups Per,2025-07-20,3.625573770491803,0.3094258279762389,0.1752740122551783,1.5,1.72,2.0,2.37,png/ups_Per_2025-07-20_HK_power_law.png,pdf/ups_Per_2025-07-20_HK_power_law.pdf
alf Per,2025-07-25,3.2356000000000003,0.224676674364896,0.120160621761658,1.5,1.72,2.0,2.37,png/alf_Per_2025-07-25_HK_power_law.png,pdf/alf_Per_2025-07-25_HK_power_law.pdf
sig Per,2025-08-27,3.136,0.278,0.163,1.5,1.72,2.0,2.37,png/sig_Per_2025-08-27_HK_power_law.png,pdf/sig_Per_2025-08-27_HK_power_law.pdf
gam Tau,2025-09-07,2.406,0.31,0.181,1.5,1.72,2.0,2.37,png/gam_Tau_2025-09-07_HK_power_law.png,pdf/gam_Tau_2025-09-07_HK_power_law.pdf
eps Tau,2025-09-07,2.605,0.348,0.217,1.5,1.72,2.0,2.37,png/eps_Tau_2025-09-07_HK_power_law.png,pdf/eps_Tau_2025-09-07_HK_power_law.pdf
phi02 Ori,2025-09-07,2.256,0.333,0.225,1.5,1.72,2.0,2.37,png/phi02_Ori_2025-09-07_HK_power_law.png,pdf/phi02_Ori_2025-09-07_HK_power_law.pdf
ups Aur,2025-08-27,4.33,0.337,0.192,1.5,1.72,2.0,2.37,png/ups_Aur_2025-08-27_HK_power_law.png,pdf/ups_Aur_2025-08-27_HK_power_law.pdf
eps Gem,2025-09-09,4.798,0.348,0.212,1.5,1.72,2.0,2.37,png/eps_Gem_2025-09-09_HK_power_law.png,pdf/eps_Gem_2025-09-09_HK_power_law.pdf
iot Gem,2025-09-09,2.48,0.272,0.159,1.5,1.72,2.0,2.37,png/iot_Gem_2025-09-09_HK_power_law.png,pdf/iot_Gem_2025-09-09_HK_power_law.pdf
HD 220369,2025-07-25,2.548,0.296,0.17,1.5,1.72,2.0,2.37,png/HD_220369_2025-07-25_HK_power_law.png,pdf/HD_220369_2025-07-25_HK_power_law.pdf
eta Her,2025-06-05,2.535,0.285,0.149,1.5,1.72,2.0,2.37,png/eta_Her_2025-06-05_HK_power_law.png,pdf/eta_Her_2025-06-05_HK_power_law.pdf
bet Dra,2025-06-05,3.3583393692933328,0.2013397485495495,0.1272753375905922,1.5,1.72,2.0,2.37,png/bet_Dra_2025-06-05_HK_power_law.png,pdf/bet_Dra_2025-06-05_HK_power_law.pdf
109 Her,2025-06-05,3.017823529411765,0.2936452710500893,0.1868333907847868,1.5,1.72,2.0,2.37,png/109_Her_2025-06-05_HK_power_law.png,pdf/109_Her_2025-06-05_HK_power_law.pdf
alf Vul,2025-06-04,4.361856746252082,0.328066474837302,0.1910604073328571,1.5,1.72,2.0,2.37,png/alf_Vul_2025-06-04_HK_power_law.png,pdf/alf_Vul_2025-06-04_HK_power_law.pdf
zet Cep,2025-07-20,5.258,0.351,0.183,1.5,1.72,2.0,2.37,png/zet_Cep_2025-07-20_HK_power_law.png,pdf/zet_Cep_2025-07-20_HK_power_law.pdf
11 Lac,2025-07-25,2.642,0.274,0.172,1.5,1.72,2.0,2.37,png/11_Lac_2025-07-25_HK_power_law.png,pdf/11_Lac_2025-07-25_HK_power_law.pdf
iot Cep,2025-06-04,2.854,0.237,0.144,1.5,1.72,2.0,2.37,png/iot_Cep_2025-06-04_HK_power_law.png,pdf/iot_Cep_2025-06-04_HK_power_law.pdf
V424 Lac,2025-07-25,4.062,0.33,0.18,1.5,1.72,2.0,2.37,png/V424_Lac_2025-07-25_HK_power_law.png,pdf/V424_Lac_2025-07-25_HK_power_law.pdf
gam Cep,2025-06-04,3.211,0.275,0.135,1.5,1.72,2.0,2.37,png/gam_Cep_2025-06-04_HK_power_law.png,pdf/gam_Cep_2025-06-04_HK_power_law.pdf
del Boo,2026-04-04,2.7735,0.2098753315649867,0.1485022624434389,1.5,1.72,2.0,2.37,png/del_Boo_2026-04-04_HK_power_law.png,pdf/del_Boo_2026-04-04_HK_power_law.pdf
lam Her,2026-04-04,3.128,0.2948,0.1866,1.5,1.72,2.0,2.37,png/lam_Her_2026-04-04_HK_power_law.png,pdf/lam_Her_2026-04-04_HK_power_law.pdf
rho Ser,2026-05-01,3.392,0.305,0.21,1.5,1.72,2.0,2.37,png/rho_Ser_2026-05-01_HK_power_law.png,pdf/rho_Ser_2026-05-01_HK_power_law.pdf
ksi Dra,2026-03-23,3.096,0.284,0.196,1.5,1.72,2.0,2.37,png/ksi_Dra_2026-03-23_HK_power_law.png,pdf/ksi_Dra_2026-03-23_HK_power_law.pdf
alf CMi,2026-04-04,5.45,0.147,0.093,1.5,1.72,2.0,2.37,png/alf_CMi_2026-04-04_HK_power_law.png,pdf/alf_CMi_2026-04-04_HK_power_law.pdf
eps Leo,2026-04-04,2.679,0.175,0.11,1.5,1.72,2.0,2.37,png/eps_Leo_2026-04-04_HK_power_law.png,pdf/eps_Leo_2026-04-04_HK_power_law.pdf
eta Boo,2026-04-04,2.234,0.169,0.117,1.5,1.72,2.0,2.37,png/eta_Boo_2026-04-04_HK_power_law.png,pdf/eta_Boo_2026-04-04_HK_power_law.pdf
eta Cyg,2026-04-04,2.304,0.265,0.184,1.5,1.72,2.0,2.37,png/eta_Cyg_2026-04-04_HK_power_law.png,pdf/eta_Cyg_2026-04-04_HK_power_law.pdf
mu. Leo,2026-04-04,2.871,0.282,0.178,1.5,1.72,2.0,2.37,png/mu._Leo_2026-04-04_HK_power_law.png,pdf/mu._Leo_2026-04-04_HK_power_law.pdf
eta Ser,2026-05-01,2.985,0.206,0.132,1.5,1.72,2.0,2.37,png/eta_Ser_2026-05-01_HK_power_law.png,pdf/eta_Ser_2026-05-01_HK_power_law.pdf
